iter	Passed	Remaining
0	56	112794
1	59	59094
2	64	43208
3	72	35942
4	78	31489
5	86	28598
6	93	26591
7	100	25101
8	107	23851
9	114	22877
10	121	22024
11	128	21327
12	135	20666
13	140	19987
14	145	19269
15	149	18538
16	152	17817
17	155	17143
18	158	16511
19	160	15909
20	162	15341
21	164	14820
22	166	14337
23	168	13906
24	170	13506
25	173	13139
26	175	12797
27	177	12477
28	179	12179
29	181	11900
30	183	11643
31	185	11405
32	187	11175
33	189	10956
34	191	10750
35	193	10555
36	195	10371
37	197	10196
38	199	10030
39	201	9875
40	203	9724
41	205	9584
42	207	9448
43	209	9318
44	211	9195
45	213	9081
46	215	8970
47	217	8863
48	220	8759
49	222	8660
50	224	8565
51	226	8472
52	228	8383
53	230	8297
54	232	8213
55	234	8132
56	236	8053
57	238	7976
58	240	7903
59	242	7832
60	244	7762
61	246	7698
62	248	7635
63	250	7570
64	252	7510
65	254	7452
66	256	7394
67	258	7340
68	260	7286
69	262	7233
70	264	7182
71	266	7130
72	268	7087
73	270	7039
74	272	6991
75	274	6946
76	276	6903
77	278	6860
78	280	6818
79	282	6778
80	284	6737
81	286	6698
82	288	6659
83	290	6624
84	292	6587
85	294	6550
86	296	6516
87	298	6482
88	300	6450
89	302	6418
90	304	6387
91	306	6357
92	308	6327
93	310	6298
94	312	6270
95	314	6241
96	316	6212
97	318	6183
98	320	6156
99	322	6129
100	324	6102
101	326	6077
102	328	6053
103	330	6028
104	332	6004
105	334	5981
106	336	5957
107	338	5934
108	340	5911
109	342	5888
110	344	5865
111	346	5844
112	348	5822
113	350	5802
114	352	5782
115	354	5761
116	356	5741
117	358	5722
118	360	5703
119	362	5683
120	364	5667
121	366	5649
122	369	5631
123	370	5612
124	373	5595
125	375	5578
126	377	5560
127	379	5543
128	381	5526
129	383	5515
130	385	5500
131	387	5484
132	389	5468
133	391	5453
134	393	5437
135	395	5422
136	397	5408
137	399	5394
138	401	5379
139	403	5365
140	405	5351
141	407	5337
